estação,data,duração,X,Y,Z,sigmaX,sigmaY,sigmaZ,IAR,correlXY,correlXZ,correlYZ
AMCR,17,120,2874244.4177,-5675803.2976,-451414.5369,0.0232,0.0232,0.0083,,0.1316,0.2718,0.1530
AMCR,18,15,2874244.4298,-5675803.2111,-451414.4953,0.2659,0.2681,0.1032,,0.4353,0.1238,0.4791
AMCR,18,30,2874244.3750,-5675803.3338,-451414.5481,0.1062,0.1107,0.0444,,0.2756,0.0973,0.5908
AMCR,18,45,2874244.4226,-5675803.3169,-451414.5281,0.0704,0.0704,0.0293,,0.0068,-0.0270,0.6427
AMCR,18,60,2874244.4229,-5675803.3069,-451414.5216,0.0550,0.0504,0.0204,,-0.1488,-0.0828,0.6220
AMCR,18,120,2874244.4161,-5675803.2983,-451414.5290,0.0237,0.0221,0.0068,,0.1389,0.2057,0.2090
AMCR,19,15,2874244.5298,-5675803.2817,-451414.5285,0.3002,0.3135,0.1295,,0.5389,0.3343,0.6498
AMCR,19,30,2874244.5033,-5675803.2208,-451414.5322,0.1219,0.1313,0.0572,,0.3067,0.2790,0.6956
AMCR,19,45,2874244.4841,-5675803.2453,-451414.5317,0.0833,0.0917,0.0458,,0.1539,0.3127,0.7575
AMCR,19,60,2874244.4505,-5675803.2648,-451414.5281,0.0608,0.0628,0.0323,,0.1338,0.3861,0.7048
AMCR,19,120,2874244.4321,-5675803.2684,-451414.5288,0.0233,0.0232,0.0087,,0.0900,0.4165,0.1589
AMCR,20,15,2874244.3884,-5675803.3142,-451414.5843,0.4727,0.5072,0.2496,,0.7901,0.6832,0.7858
AMCR,20,30,2874244.4515,-5675803.2650,-451414.5277,0.1717,0.2030,0.1075,,0.6244,0.6025,0.7951
AMCR,20,45,2874244.4458,-5675803.2834,-451414.5296,0.0956,0.1087,0.0600,,0.3332,0.4534,0.7187
AMCR,20,60,2874244.4364,-5675803.2845,-451414.5351,0.0637,0.0696,0.0347,,0.1960,0.4342,0.5083
AMCR,20,120,2874244.4163,-5675803.2931,-451414.5297,0.0249,0.0284,0.0095,,0.0190,0.3081,-0.1445
AMCR,21,15,2874244.3485,-5675803.3473,-451414.5811,0.3381,0.3265,0.1157,,0.4221,0.1032,0.3431
AMCR,21,30,2874244.3705,-5675803.3339,-451414.5197,0.1407,0.1399,0.0515,,0.1407,0.0698,0.4711
AMCR,21,45,2874244.4106,-5675803.3296,-451414.5393,0.0948,0.0986,0.0329,,-0.1293,-0.0959,0.5039
AMCR,21,60,2874244.4151,-5675803.3098,-451414.5234,0.0639,0.0698,0.0199,,-0.0645,0.0115,0.3482
AMCR,21,120,2874244.4239,-5675803.2562,-451414.5349,0.0259,0.0333,0.0071,,-0.1928,0.3486,-0.1015
AMCR,22,15,2874244.4835,-5675803.2423,-451414.4715,0.3512,0.3193,0.1299,,0.0106,0.3402,0.2314
AMCR,22,30,2874244.4518,-5675803.2751,-451414.5070,0.1756,0.1662,0.0807,,-0.0740,0.4636,0.4492
AMCR,22,45,2874244.4179,-5675803.3079,-451414.5246,0.1046,0.0971,0.0479,,-0.0440,0.4909,0.3586
AMCR,22,60,2874244.4042,-5675803.3145,-451414.5399,0.0680,0.0664,0.0330,,0.0682,0.5512,0.2591
AMCR,22,120,2874244.4043,-5675803.3257,-451414.5334,0.0307,0.0307,0.0085,,-0.0195,0.3691,0.1280
AMCR,23,15,2874244.3602,-5675803.4099,-451414.5374,0.4310,0.3880,0.2176,,0.4275,0.2306,0.4537
AMCR,23,30,2874244.3530,-5675803.3022,-451414.5621,0.1868,0.1519,0.0965,,0.1559,0.2698,0.4824
AMCR,23,45,2874244.4106,-5675803.2991,-451414.5594,0.1107,0.0749,0.0513,,0.1562,0.4101,0.3711
AMCR,23,60,2874244.4301,-5675803.2815,-451414.5484,0.0695,0.0530,0.0302,,0.1385,0.4588,0.1958
AMCR,23,120,2874244.4117,-5675803.2840,-451414.5408,0.0276,0.0353,0.0081,,-0.3623,0.3452,-0.2272
AMCR,24,15,2874244.2181,-5675803.4055,-451414.5778,0.4452,0.4764,0.1191,,0.4615,-0.0515,0.2446
AMCR,24,30,2874244.3892,-5675803.3121,-451414.5638,0.1991,0.1882,0.0448,,0.3373,-0.0782,0.2277
AMCR,24,45,2874244.4221,-5675803.3063,-451414.5377,0.1167,0.0981,0.0245,,0.3949,0.0696,0.2512
AMCR,24,60,2874244.4283,-5675803.2808,-451414.5340,0.0772,0.0683,0.0161,,0.4833,0.2294,0.2073
AMCR,24,120,2874244.4129,-5675803.2610,-451414.5409,0.0283,0.0236,0.0078,,0.1423,0.4638,0.1279
AMCR,25,15,2874244.3713,-5675803.2206,-451414.5323,0.3287,0.3117,0.1176,,0.1722,0.2389,0.4926
AMCR,25,30,2874244.4380,-5675803.2439,-451414.5317,0.1343,0.1249,0.0467,,-0.0059,0.2306,0.4246
AMCR,25,45,2874244.4206,-5675803.2703,-451414.5272,0.0779,0.0699,0.0252,,0.0961,0.3488,0.2741
AMCR,25,60,2874244.4163,-5675803.2718,-451414.5304,0.0529,0.0540,0.0166,,0.1737,0.3902,0.1061
AMCR,25,120,2874244.4133,-5675803.2984,-451414.5383,0.0263,0.0214,0.0084,,0.3663,0.4690,0.3113
AMCR,26,15,2874244.3566,-5675803.3524,-451414.5514,0.3664,0.3249,0.1181,,0.1294,0.1545,0.4698
AMCR,26,30,2874244.4159,-5675803.3074,-451414.5349,0.1560,0.1296,0.0459,,0.0081,0.1570,0.3737
AMCR,26,45,2874244.4159,-5675803.3090,-451414.5318,0.0868,0.0780,0.0254,,0.2287,0.2720,0.2307
AMCR,26,60,2874244.4190,-5675803.3102,-451414.5373,0.0599,0.0611,0.0185,,0.4010,0.3032,0.2007
AMCR,26,120,2874244.4208,-5675803.2993,-451414.5413,0.0224,0.0196,0.0078,,0.1903,0.3856,0.2536
AMCR,27,15,2874244.4815,-5675803.1905,-451414.4956,0.3670,0.3406,0.1442,,0.1211,0.3501,0.4339
AMCR,27,30,2874244.3996,-5675803.3073,-451414.5203,0.1437,0.1299,0.0536,,0.0903,0.4404,0.2643
AMCR,27,45,2874244.3777,-5675803.2836,-451414.5295,0.0814,0.0842,0.0300,,0.2406,0.4846,0.1521
AMCR,27,60,2874244.3741,-5675803.2832,-451414.5386,0.0565,0.0607,0.0235,,0.3739,0.4765,0.2077
AMCR,27,120,2874244.4279,-5675803.2747,-451414.5408,0.0213,0.0187,0.0079,,0.0829,0.3105,0.1279
AMCR,28,15,2874244.4659,-5675803.1910,-451414.4977,0.4030,0.3124,0.1755,,0.0404,0.4202,0.1283
AMCR,28,30,2874244.3612,-5675803.2607,-451414.5588,0.1539,0.1259,0.0686,,-0.0007,0.5211,-0.0677
AMCR,28,45,2874244.3825,-5675803.2632,-451414.5418,0.0879,0.0851,0.0374,,0.1320,0.4595,-0.1992
AMCR,28,60,2874244.3979,-5675803.2793,-451414.5397,0.0627,0.0618,0.0233,,0.2248,0.3541,-0.2541
AMCR,28,120,2874244.4456,-5675803.2943,-451414.5363,0.0245,0.0185,0.0064,,0.0122,0.2719,-0.0992
AMCR,29,15,2874244.4626,-5675803.4499,-451414.5487,0.4323,0.4232,0.1626,,-0.2750,0.5230,-0.2105
AMCR,29,30,2874244.3657,-5675803.3727,-451414.5627,0.1734,0.1792,0.0650,,-0.3634,0.5911,-0.3277
AMCR,29,45,2874244.4008,-5675803.3178,-451414.5452,0.0956,0.1171,0.0357,,-0.2399,0.5429,-0.2540
AMCR,29,60,2874244.4695,-5675803.3298,-451414.5223,0.0625,0.0789,0.0226,,-0.2036,0.5052,-0.2181
AMCR,29,120,2874244.4321,-5675803.2855,-451414.5406,0.0307,0.0370,0.0073,,-0.5874,0.4988,-0.4249
AMCR,30,15,2874244.3050,-5675803.3387,-451414.5371,0.4301,0.4215,0.1876,,-0.2346,0.4034,-0.2077
AMCR,30,30,2874244.3593,-5675803.3230,-451414.5493,0.1739,0.1842,0.0708,,-0.2670,0.5307,-0.2970
AMCR,30,45,2874244.3766,-5675803.2983,-451414.5369,0.0972,0.1303,0.0368,,-0.2683,0.5268,-0.3201
AMCR,30,60,2874244.4027,-5675803.2922,-451414.5335,0.0705,0.0976,0.0224,,-0.1271,0.4292,-0.3078
AMCR,30,120,2874244.4182,-5675803.2783,-451414.5398,0.0439,0.0401,0.0075,,-0.0835,0.5045,-0.3080
AMCR,182,15,2874244.3042,-5675803.1253,-451414.5159,0.2934,0.2378,0.0860,,0.1140,0.0733,-0.1346
AMCR,182,30,2874244.4106,-5675803.1660,-451414.5339,0.1139,0.1122,0.0338,,0.0592,-0.0239,-0.3066
AMCR,182,45,2874244.3883,-5675803.2070,-451414.5223,0.0652,0.0744,0.0207,,-0.0485,0.0028,-0.4515
AMCR,182,60,2874244.4051,-5675803.2118,-451414.5256,0.0456,0.0556,0.0149,,-0.2066,0.1219,-0.5290
AMCR,182,120,2874244.4204,-5675803.2581,-451414.5173,0.0222,0.0231,0.0060,,-0.2657,0.3021,-0.3532
AMCR,183,15,2874244.4022,-5675803.0695,-451414.5164,0.3165,0.3078,0.1140,,0.3149,0.2125,-0.4096
AMCR,183,30,2874244.4632,-5675803.1610,-451414.5157,0.1168,0.1329,0.0420,,0.1880,0.2120,-0.4485
AMCR,183,45,2874244.4434,-5675803.1888,-451414.5159,0.0654,0.0837,0.0238,,0.0566,0.2071,-0.5348
AMCR,183,60,2874244.4397,-5675803.1828,-451414.5257,0.0450,0.0607,0.0164,,-0.1002,0.2503,-0.6053
AMCR,183,120,2874244.4389,-5675803.2355,-451414.5206,0.0201,0.0212,0.0055,,-0.1861,0.1797,-0.3144
AMCR,184,15,2874244.3957,-5675803.0642,-451414.5687,0.2829,0.3825,0.1089,,0.4515,0.1427,-0.0481
AMCR,184,30,2874244.4124,-5675803.2024,-451414.5429,0.1062,0.1719,0.0408,,0.2997,0.1703,-0.1100
AMCR,184,45,2874244.4367,-5675803.1949,-451414.5315,0.0596,0.0998,0.0251,,0.1252,0.1236,-0.2852
AMCR,184,60,2874244.4229,-5675803.2287,-451414.5276,0.0421,0.0659,0.0175,,-0.0340,0.1823,-0.3877
AMCR,184,120,2874244.4256,-5675803.2564,-451414.5181,0.0207,0.0234,0.0063,,-0.2701,0.2378,-0.1605
AMCR,185,15,2874244.5317,-5675803.0434,-451414.5322,0.3561,0.3402,0.0900,,0.4799,-0.0572,-0.2363
AMCR,185,30,2874244.1814,-5675803.3985,-451414.4690,0.1664,0.1522,0.0389,,0.3246,0.0608,-0.3718
AMCR,185,45,2874244.2313,-5675803.4541,-451414.4776,0.1180,0.1041,0.0275,,0.1765,0.2525,-0.5031
AMCR,185,60,2874244.3030,-5675803.5196,-451414.4642,0.0915,0.0839,0.0200,,0.2800,0.1459,-0.5927
AMCR,185,120,2874244.4337,-5675803.2758,-451414.5121,0.0331,0.0282,0.0069,,-0.1175,0.2936,-0.3258
AMCR,186,15,2874244.4726,-5675803.1682,-451414.5231,0.3114,0.2736,0.1116,,0.1992,0.2343,-0.2925
AMCR,186,30,2874244.4084,-5675803.2394,-451414.5080,0.1270,0.1227,0.0425,,-0.0845,0.3148,-0.4071
AMCR,186,45,2874244.4431,-5675803.2503,-451414.5170,0.0787,0.0798,0.0251,,-0.2556,0.4149,-0.4953
AMCR,186,60,2874244.4196,-5675803.2811,-451414.5143,0.0538,0.0566,0.0168,,-0.2134,0.3576,-0.4943
AMCR,186,120,2874244.4249,-5675803.2611,-451414.5225,0.0233,0.0222,0.0061,,-0.2579,0.2361,-0.1843
AMCR,187,15,2874244.3457,-5675803.2500,-451414.5088,0.3370,0.3415,0.1225,,0.2744,0.1406,-0.6087
AMCR,187,30,2874244.4486,-5675803.2304,-451414.5100,0.1215,0.1482,0.0464,,0.1742,0.1058,-0.6581
AMCR,187,45,2874244.4536,-5675803.2225,-451414.5245,0.0685,0.0873,0.0258,,0.0017,0.1663,-0.6442
AMCR,187,60,2874244.4277,-5675803.2691,-451414.5150,0.0472,0.0577,0.0165,,-0.1149,0.2353,-0.5639
